feature,importance
pattern_type_id,0
pattern_family_id,0
trend_vs_range,0
market_phase,0
volume_imbalance,0
volume_divergence,0
volume_on_breakout,0
volume_trend,0
volume_spike_score,0
volume_mean_20,0
price_acceleration,0
price_velocity,0
momentum_divergence,0
momentum_strength,0
macd_slope,0
macd_histogram,0
rsi_slope,0
rsi,0
vol_ratio_20_50,0
bos_count_50,0
choch_bars_ago,0
structure_strength,0
pattern_winrate_regime,0
session_type,0
month,0
day_of_week,0
behaviour_probability,0
similar_patterns_100,0
cluster_density,0
pattern_decay_rate,0
pattern_prior_winrate,0
swing_density,0
entry_quality,0
risk_to_volatility,0
position_duration_expected,0
rr_to_target2,0
rr_to_target1,0
stop_distance_pct,0
htf_alignment,0
candle_range_mean_50,0
candle_range_mean_20,0
volatility_compressing,0
compression_score,0
trend_duration_bars,0
trend_strength,0
trend_direction,0
pattern_position_in_range,0
pattern_position_in_trend,0
touches_lower,0
touches_upper,0
symmetry_score,0
distance_from_last_pivot,0
lower_slope,0
upper_slope,0
breakout_angle,0
breakout_distance_pct,0
pattern_duration_norm,0
pattern_width_bars,0
pattern_height_pct,0
distance_from_trend_start,0
range_width_pct,0
volatility_expanding,0
level_age_bars,0
volatility_regime,0
atr_percentile,0
atr,0
level_density,0
sr_ratio,0
liquidity_strength,0
distance_to_liquidity_pct,0
level_touch_count,0
range_position,0
resistance_strength,0
support_strength,0
distance_to_resistance_pct,0
distance_to_support_pct,0
prior_swing_pct,0
structure_breaks_50,0
pivot_density,0
bar_index_in_trend,0
